Loading projection matrices.
Loading images.
Loading silhouettes.
Creating camera objects.
Creating voxel grid.
Processing voxels.
Creating PLY file.
Determining point colors.
Done.
         10027682 function calls (10003032 primitive calls) in 11.618 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.054    0.027 dispatcher.py:1(<module>)
        1    0.000    0.000    0.052    0.052 _add_newdocs_scalars.py:1(<module>)
    19760    0.038    0.000    0.052    0.000 defmatrix.py:189(__getitem__)
9967/9891    0.002    0.000    0.049    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.049    0.025 basic.py:1(<module>)
        1    0.000    0.000    0.049    0.049 compiler.py:1(<module>)
     3976    0.005    0.000    0.048    0.000 numbers.py:1712(__sub__)
        1    0.000    0.000    0.047    0.047 arraymath.py:1(<module>)
       24    0.000    0.000    0.047    0.002 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       39    0.000    0.000    0.046    0.001 _add_newdocs_scalars.py:62(<genexpr>)
       15    0.000    0.000    0.046    0.003 platform.py:901(system)
       32    0.000    0.000    0.046    0.001 platform.py:812(uname)
   632515    0.046    0.000    0.046    0.000 dispatcher.py:865(__get__)
        1    0.000    0.000    0.046    0.046 assumptions.py:1(<module>)
     7905    0.010    0.000    0.045    0.000 {method 'astype' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.045    0.009 numbers.py:1(<module>)
    171/1    0.000    0.000    0.045    0.045 context.py:153(refresh)
     1003    0.002    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.044    0.044 facts.py:405(__init__)
      206    0.001    0.000    0.042    0.000 std.py:1279(close)
     7007    0.027    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.041    0.041 arraymath.py:36(_check_blas)
        1    0.000    0.000    0.041    0.041 linalg.py:54(ensure_blas)
      348    0.001    0.000    0.041    0.000 re.py:288(_compile)
        2    0.000    0.000    0.041    0.020 _distributor_init.py:1(<module>)
      400    0.001    0.000    0.041    0.000 std.py:1455(moveto)
      151    0.000    0.000    0.040    0.000 re.py:249(compile)
      148    0.001    0.000    0.039    0.000 sre_compile.py:759(compile)
     1001    0.001    0.000    0.038    0.000 ansitowin32.py:193(write_plain_text)
        1    0.000    0.000    0.038    0.038 __init__.py:127(_ensure_critical_deps)
    18104    0.009    0.000    0.038    0.000 {built-in method builtins.any}
     1004    0.038    0.000    0.038    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      295    0.001    0.000    0.038    0.000 std.py:348(print_status)
   482262    0.037    0.000    0.038    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.037    0.037 platform.py:360(win32_ver)
    20522    0.015    0.000    0.037    0.000 libmpf.py:291(from_man_exp)
        1    0.000    0.000    0.037    0.037 platform.py:261(_syscmd_ver)
        1    0.000    0.000    0.037    0.037 subprocess.py:373(check_output)
        1    0.000    0.000    0.037    0.037 subprocess.py:460(run)
       85    0.000    0.000    0.037    0.000 dispatcher.py:178(add)
       85    0.000    0.000    0.037    0.000 dispatcher.py:222(reorder)
      420    0.016    0.000    0.037    0.000 assumptions.py:569(__init__)
    16001    0.019    0.000    0.036    0.000 libmpf.py:702(mpf_add)
