Loading projection matrices.
Loading images.
Loading silhouettes.
Creating camera objects.
Creating voxel grid.
Processing voxels.
Creating PLY file.
Determining point colors.
Done.
         10027682 function calls (10003032 primitive calls) in 11.618 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 subprocess.py:1477(_wait)
     1043    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 lambdarepr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 libintmath.py:1(<module>)
      168    0.000    0.000    0.001    0.000 repmatrix.py:232(__getitem__)
       12    0.000    0.000    0.001    0.000 win32.py:99(<genexpr>)
       47    0.000    0.000    0.001    0.000 values.py:544(_to_string)
        1    0.000    0.000    0.001    0.001 facts.py:114(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
     1399    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
        1    0.000    0.000    0.001    0.001 postproc.py:1(<module>)
    74/37    0.000    0.000    0.001    0.000 sorting.py:10(default_sort_key)
        8    0.001    0.000    0.001    0.000 win32.py:92(_winapi_test)
      571    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     1734    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
        7    0.000    0.000    0.001    0.000 values.py:986(descr_body)
      604    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     3847    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       32    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
       13    0.000    0.000    0.001    0.000 values.py:1129(descr)
     3006    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 partitions_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
      933    0.000    0.000    0.000    0.000 context.py:501(insert_function)
        2    0.000    0.000    0.000    0.000 codegen.py:1394(_add_module)
        2    0.000    0.000    0.000    0.000 codegen.py:1095(add_module)
       83    0.000    0.000    0.000    0.000 __init__.py:1489(_validate_resource_path)
        1    0.000    0.000    0.000    0.000 beta_functions.py:1(<module>)
      180    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
       44    0.000    0.000    0.000    0.000 dispatcher.py:244(__init__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
        1    0.000    0.000    0.000    0.000 gtk.py:1(<module>)
      206    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        8    0.000    0.000    0.000    0.000 subspaces.py:80(<listcomp>)
      350    0.000    0.000    0.000    0.000 version.py:444(_cmpkey)
        1    0.000    0.000    0.000    0.000 mutable_ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:165(_define_nrt_unresolved_abort)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       13    0.000    0.000    0.000    0.000 values.py:1131(<listcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:1621(_get)
      202    0.000    0.000    0.000    0.000 numbers.py:1869(__eq__)
        1    0.000    0.000    0.000    0.000 tensor_functions.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:523(Optional)
        1    0.000    0.000    0.000    0.000 __init__.py:152(_try_enable_svml)
      167    0.000    0.000    0.000    0.000 logic.py:346(flatten)
       86    0.000    0.000    0.000    0.000 logic.py:271(fromstring)
      170    0.000    0.000    0.000    0.000 libmpf.py:950(mpf_div)
      168    0.000    0.000    0.000    0.000 repmatrix.py:673(_getitem_RepMatrix)
        1    0.000    0.000    0.000    0.000 facts.py:1(<module>)
     3861    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       11    0.000    0.000    0.000    0.000 typeof.py:25(typeof)
     1334    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      4/3    0.000    0.000    0.000    0.000 pyparsing.py:3859(parseImpl)
        1    0.000    0.000    0.000    0.000 dylib.py:23(load_library_permanently)
     1099    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      938    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      187    0.000    0.000    0.000    0.000 overload_glue.py:253(wrap)
        1    0.000    0.000    0.000    0.000 libmpc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 externals.py:108(install)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      111    0.000    0.000    0.000    0.000 __init__.py:2492(parse)
        1    0.000    0.000    0.000    0.000 combsimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 externals.py:124(_do_install)
        2    0.000    0.000    0.000    0.000 traverse.py:1(<module>)
        2    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
     4756    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 cffi_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 passmanagers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
     2742    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 ElementTree.py:1219(parse)
        1    0.000    0.000    0.000    0.000 solveset.py:1(<module>)
      206    0.000    0.000    0.000    0.000 typeconv.py:49(set_compatible)
        5    0.000    0.000    0.000    0.000 dispatcher.py:724(typeof_pyval)
        1    0.000    0.000    0.000    0.000 object_mode_passes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:412(PercentStyle)
      143    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
      618    0.000    0.000    0.000    0.000 ansitowin32.py:28(__getattr__)
        1    0.000    0.000    0.000    0.000 realfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 libintmath.py:127(<listcomp>)
      420    0.000    0.000    0.000    0.000 core.py:69(__init__)
      195    0.000    0.000    0.000    0.000 std.py:155(__init__)
        2    0.000    0.000    0.000    0.000 fnmatch.py:54(filter)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 codegen.py:1297(_scan_and_fix_unresolved_refs)
        1    0.000    0.000    0.000    0.000 getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.000    0.000 zeta.py:1(<module>)
       76    0.000    0.000    0.000    0.000 re.py:202(sub)
       48    0.000    0.000    0.000    0.000 pyparsing.py:1948(__or__)
     6594    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 code.py:1(<module>)
       82    0.000    0.000    0.000    0.000 npyimpl.py:428(_ufunc_db_function)
        8    0.000    0.000    0.000    0.000 ElementTree.py:556(parse)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
     1203    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      136    0.000    0.000    0.000    0.000 ffi.py:356(__del__)
        6    0.000    0.000    0.000    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:306(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:508(__init__)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:63(__init__)
        1    0.000    0.000    0.000    0.000 radsimp.py:1(<module>)
        8    0.000    0.000    0.000    0.000 common.py:2730(__truediv__)
       22    0.000    0.000    0.000    0.000 symbol.py:421(__new__)
        1    0.000    0.000    0.000    0.000 errors.py:316(errmsg)
     1131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:301(_markup)
      6/2    0.000    0.000    0.000    0.000 pyparsing.py:4183(streamline)
      141    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
      730    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       24    0.000    0.000    0.000    0.000 numbers.py:1300(__truediv__)
        1    0.000    0.000    0.000    0.000 __init__.py:2422(EntryPoint)
     1566    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 callconv.py:385(return_user_exc)
        1    0.000    0.000    0.000    0.000 sequences.py:27(SeqBase)
       25    0.000    0.000    0.000    0.000 symbol.py:294(__new_stage2__)
       62    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
     1148    0.000    0.000    0.000    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abstract.py:1(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:774(_find_impl)
      232    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1024    0.000    0.000    0.000    0.000 imputils.py:37(decorate)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:224(__init__)
      187    0.000    0.000    0.000    0.000 overload_glue.py:210(defer_lowering)
       71    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
        1    0.000    0.000    0.000    0.000 lie_group.py:1(<module>)
        1    0.000    0.000    0.000    0.000 densebasic.py:1(<module>)
      331    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       24    0.000    0.000    0.000    0.000 repmatrix.py:101(_dod_to_DomainMatrix)
        1    0.000    0.000    0.000    0.000 python.py:1(<module>)
        1    0.000    0.000    0.000    0.000 visualization.py:1(<module>)
       72    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
     3839    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        8    0.000    0.000    0.000    0.000 PngImagePlugin.py:700(_open)
        3    0.000    0.000    0.000    0.000 functools.py:732(_compose_mro)
       82    0.000    0.000    0.000    0.000 extending.py:323(__init__)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
        1    0.000    0.000    0.000    0.000 ordinals.py:1(<module>)
     1341    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 result.py:1(<module>)
      140    0.000    0.000    0.000    0.000 ffi.py:313(close)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 importtools.py:48(import_module)
       85    0.000    0.000    0.000    0.000 utils.py:61(reverse_dict)
        1    0.000    0.000    0.000    0.000 diagonal.py:1(<module>)
        2    0.000    0.000    0.000    0.000 codegen.py:1151(create_library)
        1    0.000    0.000    0.000    0.000 caching.py:541(_load_data)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
        2    0.000    0.000    0.000    0.000 codegen.py:644(__init__)
        1    0.000    0.000    0.000    0.000 polygon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ccallback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
      214    0.000    0.000    0.000    0.000 target_extension.py:70(resolve_target_str)
      144    0.000    0.000    0.000    0.000 typeconv.py:60(set_unsafe_convert)
        2    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
       70    0.000    0.000    0.000    0.000 __init__.py:681(add)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1137    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        8    0.000    0.000    0.000    0.000 common.py:2745(__mul__)
        1    0.000    0.000    0.000    0.000 spherical_harmonics.py:1(<module>)
       87    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      307    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 latex.py:1(<module>)
        8    0.000    0.000    0.000    0.000 common.py:2776(multiply)
        1    0.000    0.000    0.000    0.000 instructions.py:1(<module>)
      604    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 exprtools.py:1(<module>)
      105    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
      337    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 assume.py:1(<module>)
      544    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.replace}
        2    0.000    0.000    0.000    0.000 fnmatch.py:44(_compile_pattern)
      310    0.000    0.000    0.000    0.000 pretty_symbology.py:10(U)
       70    0.000    0.000    0.000    0.000 version.py:293(__str__)
       94    0.000    0.000    0.000    0.000 ntpath.py:61(isabs)
      189    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 core.py:898(_MaskedUnaryOperation)
      862    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 decompositions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ansitowin32.py:64(AnsiToWin32)
      284    0.000    0.000    0.000    0.000 function_base.py:461(_add_docstring)
      140    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
     1420    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npytypes.py:1(<module>)
      103    0.000    0.000    0.000    0.000 utils.py:74(__eq__)
       85    0.000    0.000    0.000    0.000 conflict.py:67(<dictcomp>)
      156    0.000    0.000    0.000    0.000 iterables.py:588(sift)
        1    0.000    0.000    0.000    0.000 field.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
      241    0.000    0.000    0.000    0.000 templates.py:183(signature)
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.000    0.000 matadd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       96    0.000    0.000    0.000    0.000 libmpf.py:1290(str_to_man_exp)
        1    0.000    0.000    0.000    0.000 tupleobj.py:1(<module>)
       64    0.000    0.000    0.000    0.000 decorators.py:35(deco)
  179/137    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 TiffTags.py:382(_populate)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
      180    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1(<module>)
      206    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
        1    0.000    0.000    0.000    0.000 config.py:83(__init__)
        1    0.000    0.000    0.000    0.000 nonhomogeneous.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:86(reset)
      431    0.000    0.000    0.000    0.000 registry.py:95(__getitem__)
     1891    0.000    0.000    0.000    0.000 abstract.py:92(__init__)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:90(update)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:63(_define_nrt_decref)
        3    0.000    0.000    0.000    0.000 functools.py:745(<listcomp>)
        1    0.000    0.000    0.000    0.000 galoistools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 externals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
      524    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
      170    0.000    0.000    0.000    0.000 target_extension.py:52(get_local_target)
        1    0.000    0.000    0.000    0.000 gmpyfinitefield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pythonfinitefield.py:1(<module>)
      102    0.000    0.000    0.000    0.000 _monitor.py:94(report)
       34    0.000    0.000    0.000    0.000 functools.py:741(is_related)
      217    0.000    0.000    0.000    0.000 target_extension.py:14(__getitem__)
        1    0.000    0.000    0.000    0.000 operations.py:1(<module>)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
      400    0.000    0.000    0.000    0.000 utils.py:319(_term_move_up)
      310    0.000    0.000    0.000    0.000 {built-in method unicodedata.lookup}
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
       16    0.000    0.000    0.000    0.000 numbers.py:1331(_eval_power)
        1    0.000    0.000    0.000    0.000 llvm_pass_timings.py:1(<module>)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       64    0.000    0.000    0.000    0.000 decorators.py:41(__sympifyit)
        2    0.000    0.000    0.000    0.000 codegen.py:1033(scan_defined_symbols)
        1    0.000    0.000    0.000    0.000 setobj.py:1(<module>)
       70    0.000    0.000    0.000    0.000 __init__.py:1315(safe_name)
      141    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
       10    0.000    0.000    0.000    0.000 typing.py:1193(__getitem__)
        1    0.000    0.000    0.000    0.000 piecewise.py:1(<module>)
     1750    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       91    0.000    0.000    0.000    0.000 values.py:537(__init__)
        1    0.000    0.000    0.000    0.000 permutation.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       96    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(reshape)
       26    0.000    0.000    0.000    0.000 ffi.py:254(__exit__)
        3    0.000    0.000    0.000    0.000 rangeobj.py:239(make_range_attr)
        3    0.000    0.000    0.000    0.000 decorators.py:111(sympify_method_args)
     1458    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       40    0.000    0.000    0.000    0.000 compiler_machinery.py:404(make_festive)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 interval_arithmetic.py:1(<module>)
       10    0.000    0.000    0.000    0.000 symbol.py:580(symbols)
        1    0.000    0.000    0.000    0.000 normalforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ask.py:21(AssumptionKeys)
        1    0.000    0.000    0.000    0.000 hadamard.py:1(<module>)
    27/21    0.000    0.000    0.000    0.000 contextlib.py:130(__enter__)
        1    0.000    0.000    0.000    0.000 byteflow.py:1(<module>)
      237    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.000    0.000 ctx_fp.py:18(__init__)
       52    0.000    0.000    0.000    0.000 ffi.py:244(close)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       11    0.000    0.000    0.000    0.000 abstract.py:173(__call__)
      182    0.000    0.000    0.000    0.000 misc.py:113(__init__)
        1    0.000    0.000    0.000    0.000 integerring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomialring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 callconv.py:353(set_static_user_exc)
      149    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 polyerrors.py:1(<module>)
       82    0.000    0.000    0.000    0.000 npyimpl.py:481(register_ufunc_kernel)
       13    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       53    0.000    0.000    0.000    0.000 facts.py:451(<setcomp>)
       24    0.000    0.000    0.000    0.000 domainmatrix.py:106(__new__)
      206    0.000    0.000    0.000    0.000 std.py:1171(__hash__)
       85    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 __init__.py:252(WordSet)
       71    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       83    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 builder.py:189(IRBuilder)
      115    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 add.py:1(<module>)
       24    0.000    0.000    0.000    0.000 ffi.py:9(_make_opaque_ref)
       92    0.000    0.000    0.000    0.000 {built-in method now}
     2773    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       18    0.000    0.000    0.000    0.000 logic.py:370(_eval_propagate_not)
     1570    0.000    0.000    0.000    0.000 functions.py:262(key)
        1    0.000    0.000    0.000    0.000 groundtypes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 codegen.py:774(_verify_declare_only_symbols)
  130/127    0.000    0.000    0.000    0.000 _utils.py:54(get_reference)
        6    0.000    0.000    0.000    0.000 printer.py:388(decorator)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       55    0.000    0.000    0.000    0.000 decorator.py:225(memoize_property)
        1    0.000    0.000    0.000    0.000 typeinfer.py:1(<module>)
      103    0.000    0.000    0.000    0.000 utils.py:105(__init__)
        8    0.000    0.000    0.000    0.000 values.py:963(descr_prototype)
       80    0.000    0.000    0.000    0.000 typing.py:1233(<genexpr>)
      107    0.000    0.000    0.000    0.000 re.py:187(match)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 targets.py:1(<module>)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        6    0.000    0.000    0.000    0.000 printer.py:356(__init__)
        2    0.000    0.000    0.000    0.000 typeconv.py:90(safe)
        1    0.000    0.000    0.000    0.000 binrel.py:1(<module>)
       84    0.000    0.000    0.000    0.000 overload_glue.py:256(real_call)
        1    0.000    0.000    0.000    0.000 conflict.py:1(<module>)
      741    0.000    0.000    0.000    0.000 facts.py:65(_as_pair)
        1    0.000    0.000    0.000    0.000 itanium_mangler.py:1(<module>)
        8    0.000    0.000    0.000    0.000 PpmImagePlugin.py:89(_open)
        1    0.000    0.000    0.000    0.000 imputils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 determinant.py:1(<module>)
      568    0.000    0.000    0.000    0.000 _binary.py:84(i32be)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      933    0.000    0.000    0.000    0.000 templates.py:269(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2266(__new__)
        1    0.000    0.000    0.000    0.000 eh.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_comprehension.py:1(<module>)
        6    0.000    0.000    0.000    0.000 builder.py:297(if_then)
        1    0.000    0.000    0.000    0.000 codegen.py:1412(initialize_llvm)
       25    0.000    0.000    0.000    0.000 numbers.py:1254(_eval_is_extended_negative)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       44    0.000    0.000    0.000    0.000 templates.py:1203(wrapper)
        1    0.000    0.000    0.000    0.000 setexpr.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1207(__getitem_inner__)
      240    0.000    0.000    0.000    0.000 simplify.py:1974(dotprodsimp)
        1    0.000    0.000    0.000    0.000 rl.py:1(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        8    0.000    0.000    0.000    0.000 values.py:925(__init__)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
        4    0.000    0.000    0.000    0.000 codegen.py:1200(_create_empty_module)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr_with_limits.py:1(<module>)
       24    0.000    0.000    0.000    0.000 determinant.py:45(<listcomp>)
      278    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      773    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 textwrap.py:422(dedent)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        6    0.000    0.000    0.000    0.000 environment.py:46(_rebuild_env)
      101    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
        2    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
       32    0.000    0.000    0.000    0.000 sdm.py:68(__init__)
        1    0.000    0.000    0.000    0.000 facts.py:213(rules_2prereq)
     1289    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      746    0.000    0.000    0.000    0.000 inspect.py:277(isfunction)
       51    0.000    0.000    0.000    0.000 decorators.py:98(priority_decorator)
       37    0.000    0.000    0.000    0.000 sorting.py:180(_nodes)
      102    0.000    0.000    0.000    0.000 getlimits.py:382(__new__)
        2    0.000    0.000    0.000    0.000 typing.py:2246(_make_nmtuple)
      163    0.000    0.000    0.000    0.000 extending.py:220(overload_method)
        1    0.000    0.000    0.000    0.000 _manylinux.py:1(<module>)
       42    0.000    0.000    0.000    0.000 instructions.py:13(__init__)
     1024    0.000    0.000    0.000    0.000 imputils.py:28(lower)
      103    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
      935    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       44    0.000    0.000    0.000    0.000 decorators.py:184(_jit)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:41(_define_nrt_incref)
     1505    0.000    0.000    0.000    0.000 functions.py:249(<genexpr>)
      907    0.000    0.000    0.000    0.000 utils.py:56(<genexpr>)
        1    0.000    0.000    0.000    0.000 singleton.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
        1    0.000    0.000    0.000    0.000 event.py:1(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       91    0.000    0.000    0.000    0.000 values.py:557(_set_name)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 targets.py:219(create_target_machine)
       45    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       45    0.000    0.000    0.000    0.000 abc.py:110(register)
       20    0.000    0.000    0.000    0.000 builtins.py:144(choose_result_int)
       16    0.000    0.000    0.000    0.000 ImageFile.py:280(load_prepare)
       24    0.000    0.000    0.000    0.000 numbers.py:2202(__mul__)
      309    0.000    0.000    0.000    0.000 utils.py:101(wrapper_setattr)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      593    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      206    0.000    0.000    0.000    0.000 utils.py:136(disable_on_exception)
       37    0.000    0.000    0.000    0.000 decorators.py:202(make_wrapped)
        1    0.000    0.000    0.000    0.000 os.py:200(makedirs)
        6    0.000    0.000    0.000    0.000 utils.py:71(__call__)
       14    0.000    0.000    0.000    0.000 re.py:222(split)
        1    0.000    0.000    0.000    0.000 importtools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gammasimp.py:1(<module>)
       34    0.000    0.000    0.000    0.000 __init__.py:2899(<listcomp>)
       24    0.000    0.000    0.000    0.000 numbers.py:1433(__gt__)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:3003(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 pythonapi.py:1368(serialize_object)
     1267    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
